"id","type","dataType","group","status","uiName","description","allowedInSegments","replacedBy","calculation","minTemplateIndex","maxTemplateIndex","premiumMinTemplateIndex","premiumMaxTemplateIndex"
"ga:longitude","DIMENSION","STRING","Geo Network","PUBLIC","Longitude","The approximate longitude of the user's city. Derived from IP addresses or Geographical IDs. Locations east of the meridian are represented by positive values and locations west of the meridian by negative values.",NA,NA,NA,NA,NA,NA,NA
"ga:networkDomain","DIMENSION","STRING","Geo Network","PUBLIC","Network Domain","The domain name of the ISPs used by users. This is derived from the domain name registered to the IP address.",TRUE,NA,NA,NA,NA,NA,NA
"ga:networkLocation","DIMENSION","STRING","Geo Network","PUBLIC","Service Provider","The name of service providers used to reach your property. For example, if most users to your website come via the major service providers for cable internet, you will see the names of those cable service providers in this element.",TRUE,NA,NA,NA,NA,NA,NA
"ga:flashVersion","DIMENSION","STRING","System","PUBLIC","Flash Version","The versions of Flash supported by users' browsers, including minor versions.",TRUE,NA,NA,NA,NA,NA,NA
"ga:javaEnabled","DIMENSION","STRING","System","PUBLIC","Java Support","Indicates Java support for users' browsers. The possible values are Yes or No where the first letter must be capitalized.",TRUE,NA,NA,NA,NA,NA,NA
"ga:language","DIMENSION","STRING","System","PUBLIC","Language","The language provided by the HTTP Request for the browser. Values are given as an ISO-639 code (e.g. en-gb for British English).",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenColors","DIMENSION","STRING","System","PUBLIC","Screen Colors","The color depth of users' monitors, as retrieved from the DOM of the user's browser. For example 4-bit, 8-bit, 24-bit, or undefined-bit.",TRUE,NA,NA,NA,NA,NA,NA
"ga:sourcePropertyDisplayName","DIMENSION","STRING","System","PUBLIC","Source Property Display Name","Source property display name of roll-up properties. This is valid only for roll-up properties.",TRUE,NA,NA,NA,NA,NA,NA
"ga:sourcePropertyTrackingId","DIMENSION","STRING","System","PUBLIC","Source Property Tracking ID","Source property tracking ID of roll-up properties. This is valid only for roll-up properties.",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenResolution","DIMENSION","STRING","System","PUBLIC","Screen Resolution","The screen resolution of users' screens. For example: 1024x738.",TRUE,NA,NA,NA,NA,NA,NA
"ga:socialActivityEndorsingUrl","DIMENSION","STRING","Social Activities","PUBLIC","Endorsing URL","For a social data hub activity, this value represents the URL of the social activity (e.g. the Google+ post URL, the blog comment URL, etc.)",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityDisplayName","DIMENSION","STRING","Social Activities","PUBLIC","Display Name","For a social data hub activity, this value represents the title of the social activity posted by the social network user.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityPost","DIMENSION","STRING","Social Activities","PUBLIC","Social Activity Post","For a social data hub activity, this value represents the content of the social activity posted by the social network user (e.g. The message content of a Google+ post)",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityTimestamp","DIMENSION","STRING","Social Activities","PUBLIC","Social Activity Timestamp","For a social data hub activity, this value represents when the social activity occurred on the social network.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserHandle","DIMENSION","STRING","Social Activities","PUBLIC","Social User Handle","For a social data hub activity, this value represents the social network handle (e.g. name or ID) of the user who initiated the social activity.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserPhotoUrl","DIMENSION","STRING","Social Activities","PUBLIC","User Photo URL","For a social data hub activity, this value represents the URL of the photo associated with the user's social network profile.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserProfileUrl","DIMENSION","STRING","Social Activities","PUBLIC","User Profile URL","For a social data hub activity, this value represents the URL of the associated user's social network profile.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityContentUrl","DIMENSION","STRING","Social Activities","PUBLIC","Shared URL","For a social data hub activity, this value represents the URL shared by the associated social network user.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityTagsSummary","DIMENSION","STRING","Social Activities","PUBLIC","Social Tags Summary","For a social data hub activity, this is a comma-separated set of tags associated with the social activity.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityAction","DIMENSION","STRING","Social Activities","PUBLIC","Originating Social Action","For a social data hub activity, this value represents the type of social action associated with the activity (e.g. vote, comment, +1, etc.).",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityNetworkAction","DIMENSION","STRING","Social Activities","PUBLIC","Social Network and Action","For a social data hub activity, this value represents the type of social action and the social network where the activity originated.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivities","METRIC","INTEGER","Social Activities","PUBLIC","Data Hub Activities","The total number of activities where a content URL was shared / mentioned on a social data hub partner network.",NA,NA,NA,NA,NA,NA,NA
"ga:hostname","DIMENSION","STRING","Page Tracking","PUBLIC","Hostname","The hostname from which the tracking request was made.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Page","A page on your website specified by path and/or query parameters. Use in conjunction with hostname to get the full URL of the page.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pagePathLevel1","DIMENSION","STRING","Page Tracking","PUBLIC","Page path level 1","This dimension rolls up all the page paths in the first hierarchical level in pagePath.",NA,NA,NA,NA,NA,NA,NA
"ga:pagePathLevel2","DIMENSION","STRING","Page Tracking","PUBLIC","Page path level 2","This dimension rolls up all the page paths in the second hierarchical level in pagePath.",NA,NA,NA,NA,NA,NA,NA
"ga:pagePathLevel3","DIMENSION","STRING","Page Tracking","PUBLIC","Page path level 3","This dimension rolls up all the page paths in the third hierarchical level in pagePath.",NA,NA,NA,NA,NA,NA,NA
"ga:pagePathLevel4","DIMENSION","STRING","Page Tracking","PUBLIC","Page path level 4","This dimension rolls up all the page paths into hierarchical levels. Up to 4 pagePath levels maybe specified. All additional levels in the pagePath hierarchy are also rolled up in this dimension.",NA,NA,NA,NA,NA,NA,NA
"ga:pageTitle","DIMENSION","STRING","Page Tracking","PUBLIC","Page Title","The title of a page. Keep in mind that multiple pages might have the same page title.",TRUE,NA,NA,NA,NA,NA,NA
"ga:landingPagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Landing Page","The first page in a user's session, or landing page.",TRUE,NA,NA,NA,NA,NA,NA
"ga:secondPagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Second Page","The second page in a user's session.",NA,NA,NA,NA,NA,NA,NA
"ga:exitPagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Exit Page","The last page in a user's session, or exit page.",TRUE,NA,NA,NA,NA,NA,NA
"ga:previousPagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Previous Page Path","A page that was visited before another page on the same property. Typically used with the pagePath dimension.",NA,NA,NA,NA,NA,NA,NA
"ga:nextPagePath","DIMENSION","STRING","Page Tracking","DEPRECATED","Next Page Path","This dimension is deprecated and will be removed soon. Please use ga:pagePath instead.",NA,NA,NA,NA,NA,NA,NA
"ga:pageDepth","DIMENSION","STRING","Page Tracking","PUBLIC","Page Depth","The number of pages visited by users during a session. The value is a histogram that counts pageviews across a range of possible values. In this calculation, all sessions will have at least one pageview, and some percentage of sessions will have more.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pageValue","METRIC","CURRENCY","Page Tracking","PUBLIC","Page Value","The average value of this page or set of pages. Page Value is (ga:transactionRevenue + ga:goalValueAll) / ga:uniquePageviews (for the page or set of pages).",NA,NA,NA,NA,NA,NA,NA
"ga:entrances","METRIC","INTEGER","Page Tracking","PUBLIC","Entrances","The number of entrances to your property measured as the first pageview in a session. Typically used with landingPagePath",TRUE,NA,NA,NA,NA,NA,NA
"ga:entranceRate","METRIC","PERCENT","Page Tracking","PUBLIC","Entrances / Pageviews","The percentage of pageviews in which this page was the entrance.",NA,NA,"ga:entrances / ga:pageviews",NA,NA,NA,NA
"ga:pageviews","METRIC","INTEGER","Page Tracking","PUBLIC","Pageviews","The total number of pageviews for your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pageviewsPerSession","METRIC","FLOAT","Page Tracking","PUBLIC","Pages / Session","The average number of pages viewed during a session, including repeated views of a single page.",NA,NA,"ga:pageviews / ga:sessions",NA,NA,NA,NA
"ga:pageviewsPerVisit","METRIC","FLOAT","Page Tracking","DEPRECATED","Pages / Session","The average number of pages viewed during a session, including repeated views of a single page.",NA,"ga:pageviewsPerSession","ga:pageviews / ga:sessions",NA,NA,NA,NA
"ga:contentGroupUniqueViewsXX","METRIC","INTEGER","Content Grouping","PUBLIC","Unique Views XX","The number of unique content group views. Content group views within different sessions count as separate unique content view. This takes into account both the pagePath and pageTitle to determine uniqueness.",NA,NA,NA,1,5,NA,NA
"ga:uniquePageviews","METRIC","INTEGER","Page Tracking","PUBLIC","Unique Pageviews","The number of unique page views. Page views within different sessions count as separate unique page views. This takes into account both the pagePath and pageTitle to determine uniqueness.",TRUE,NA,NA,NA,NA,NA,NA
"ga:timeOnPage","METRIC","TIME","Page Tracking","PUBLIC","Time on Page","How long a user spent on a particular page in seconds. Calculated by subtracting the initial view time for a particular page from the initial view time for a subsequent page. Thus, this metric does not apply to exit pages for your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:avgTimeOnPage","METRIC","TIME","Page Tracking","PUBLIC","Avg. Time on Page","The average amount of time users spent viewing this page or a set of pages.",NA,NA,"ga:timeOnPage / (ga:pageviews - ga:exits)",NA,NA,NA,NA
"ga:exits","METRIC","INTEGER","Page Tracking","PUBLIC","Exits","The number of exits from your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:exitRate","METRIC","PERCENT","Page Tracking","PUBLIC","% Exit","The percentage of exits from your property that occurred out of the total page views.",NA,NA,"ga:exits / (ga:pageviews + ga:screenviews)",NA,NA,NA,NA
"ga:searchUsed","DIMENSION","STRING","Internal Search","PUBLIC","Site Search Status","A boolean to distinguish whether internal search was used in a session. Values are Visits With Site Search and Visits Without Site Search.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchKeyword","DIMENSION","STRING","Internal Search","PUBLIC","Search Term","Search terms used by users within your property.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchKeywordRefinement","DIMENSION","STRING","Internal Search","PUBLIC","Refined Keyword","Subsequent keyword search terms or strings entered by users after a given initial string search.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchCategory","DIMENSION","STRING","Internal Search","PUBLIC","Site Search Category","The categories used for the internal search if you have this enabled for your profile. For example, you might have product categories such as electronics, furniture, or clothing.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchStartPage","DIMENSION","STRING","Internal Search","PUBLIC","Start Page","A page where the user initiated an internal search.",NA,NA,NA,NA,NA,NA,NA
"ga:searchDestinationPage","DIMENSION","STRING","Internal Search","PUBLIC","Destination Page","The page the user immediately visited after performing an internal search on your site. (Usually the search results page).",NA,NA,NA,NA,NA,NA,NA
"ga:searchAfterDestinationPage","DIMENSION","STRING","Internal Search","PUBLIC","Search Destination Page","A page that the user visited after performing an internal search on your site.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchResultViews","METRIC","INTEGER","Internal Search","PUBLIC","Results Pageviews","The number of times a search result page was viewed after performing a search.",NA,NA,NA,NA,NA,NA,NA
"ga:searchUniques","METRIC","INTEGER","Internal Search","PUBLIC","Total Unique Searches","The total number of unique keywords from internal searches within a session. For example if ""shoes"" was searched for 3 times in a session, it will be only counted once.",TRUE,NA,NA,NA,NA,NA,NA
"ga:avgSearchResultViews","METRIC","FLOAT","Internal Search","PUBLIC","Results Pageviews / Search","The average number of times people viewed a search results page after performing a search.",NA,NA,"ga:searchResultViews / ga:searchUniques",NA,NA,NA,NA
"ga:searchSessions","METRIC","INTEGER","Internal Search","PUBLIC","Sessions with Search","The total number of sessions that included an internal search",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchVisits","METRIC","INTEGER","Internal Search","DEPRECATED","Sessions with Search","The total number of sessions that included an internal search",TRUE,"ga:searchSessions",NA,NA,NA,NA,NA
"ga:percentSessionsWithSearch","METRIC","PERCENT","Internal Search","PUBLIC","% Sessions with Search","The percentage of sessions with search.",NA,NA,"ga:searchSessions / ga:sessions",NA,NA,NA,NA
"ga:percentVisitsWithSearch","METRIC","PERCENT","Internal Search","DEPRECATED","% Sessions with Search","The percentage of sessions with search.",NA,"ga:percentSessionsWithSearch","ga:searchSessions / ga:sessions",NA,NA,NA,NA
"ga:searchDepth","METRIC","INTEGER","Internal Search","PUBLIC","Search Depth","The total number of subsequent page views made after a use of your internal search feature.",TRUE,NA,NA,NA,NA,NA,NA
"ga:avgSearchDepth","METRIC","FLOAT","Internal Search","PUBLIC","Average Search Depth","The average number of pages people viewed after performing a search.",NA,NA,"ga:searchDepth / ga:searchUniques",NA,NA,NA,NA
"ga:searchRefinements","METRIC","INTEGER","Internal Search","PUBLIC","Search Refinements","The total number of times a refinement (transition) occurs between internal search keywords within a session. For example if the sequence of keywords is: ""shoes"", ""shoes"", ""pants"", ""pants"", this metric will be one because the transition between ""shoes"" and ""pants"" is different.",TRUE,NA,NA,NA,NA,NA,NA
"ga:percentSearchRefinements","METRIC","PERCENT","Internal Search","PUBLIC","% Search Refinements","The percentage of number of times a refinement (i.e., transition) occurs between internal search keywords within a session.",NA,NA,"ga:searchRefinements / ga:searchResultViews",NA,NA,NA,NA
"ga:searchDuration","METRIC","TIME","Internal Search","PUBLIC","Time after Search","The session duration where a use of your internal search feature occurred.",TRUE,NA,NA,NA,NA,NA,NA
"ga:avgSearchDuration","METRIC","TIME","Internal Search","PUBLIC","Time after Search","The average time (in seconds) users spent on your property after searching.",NA,NA,"ga:searchDuration / ga:searchUniques",NA,NA,NA,NA
"ga:searchExits","METRIC","INTEGER","Internal Search","PUBLIC","Search Exits","The number of exits on your site that occurred following a search result from your internal search feature.",TRUE,NA,NA,NA,NA,NA,NA
"ga:searchExitRate","METRIC","PERCENT","Internal Search","PUBLIC","% Search Exits","The percentage of searches that resulted in an immediate exit from your property.",NA,NA,"ga:searchExits / ga:searchUniques",NA,NA,NA,NA
"ga:searchGoalXXConversionRate","METRIC","PERCENT","Internal Search","PUBLIC","Site Search Goal XX Conversion Rate","The percentage of search sessions (i.e., sessions that included at least one search) which resulted in a conversion to the requested goal number.",NA,NA,"ga:goalXXCompletions / ga:searchUniques",1,20,NA,NA
"ga:searchGoalConversionRateAll","METRIC","PERCENT","Internal Search","PUBLIC","Site Search Goal Conversion Rate","The percentage of search sessions (i.e., sessions that included at least one search) which resulted in a conversion to at least one of your goals.",NA,NA,"ga:goalCompletionsAll / ga:searchUniques",NA,NA,NA,NA
"ga:goalValueAllPerSearch","METRIC","CURRENCY","Internal Search","PUBLIC","Per Search Goal Value","The average goal value of a search.",NA,NA,"ga:goalValueAll / ga:searchUniques",NA,NA,NA,NA
"ga:pageLoadTime","METRIC","INTEGER","Site Speed","PUBLIC","Page Load Time (ms)","Total Page Load Time is the amount of time (in milliseconds) it takes for pages from the sample set to load, from initiation of the pageview (e.g. click on a page link) to load completion in the browser.",NA,NA,NA,NA,NA,NA,NA
"ga:pageLoadSample","METRIC","INTEGER","Site Speed","PUBLIC","Page Load Sample","The sample set (or count) of pageviews used to calculate the average page load time.",NA,NA,NA,NA,NA,NA,NA
"ga:avgPageLoadTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Page Load Time (sec)","The average amount of time (in seconds) it takes for pages from the sample set to load, from initiation of the pageview (e.g. click on a page link) to load completion in the browser.",NA,NA,"(ga:pageLoadTime / ga:pageLoadSample / 1000)",NA,NA,NA,NA
"ga:domainLookupTime","METRIC","INTEGER","Site Speed","PUBLIC","Domain Lookup Time (ms)","The total amount of time (in milliseconds) spent in DNS lookup for this page among all samples.",NA,NA,NA,NA,NA,NA,NA
"ga:avgDomainLookupTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Domain Lookup Time (sec)","The average amount of time (in seconds) spent in DNS lookup for this page.",NA,NA,"(ga:domainLookupTime / ga:speedMetricsSample / 1000)",NA,NA,NA,NA
"ga:pageDownloadTime","METRIC","INTEGER","Site Speed","PUBLIC","Page Download Time (ms)","The total amount of time (in milliseconds) to download this page among all samples.",NA,NA,NA,NA,NA,NA,NA
"ga:avgPageDownloadTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Page Download Time (sec)","The average amount of time (in seconds) to download this page.",NA,NA,"(ga:pageDownloadTime / ga:speedMetricsSample / 1000)",NA,NA,NA,NA
"ga:redirectionTime","METRIC","INTEGER","Site Speed","PUBLIC","Redirection Time (ms)","The total amount of time (in milliseconds) spent in redirects before fetching this page among all samples. If there are no redirects, the value for this metric is expected to be 0.",NA,NA,NA,NA,NA,NA,NA
"ga:avgRedirectionTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Redirection Time (sec)","The average amount of time (in seconds) spent in redirects before fetching this page. If there are no redirects, the value for this metric is expected to be 0.",NA,NA,"(ga:redirectionTime / ga:speedMetricsSample / 1000)",NA,NA,NA,NA
"ga:serverConnectionTime","METRIC","INTEGER","Site Speed","PUBLIC","Server Connection Time (ms)","The total amount of time (in milliseconds) spent in establishing TCP connection for this page among all samples.",NA,NA,NA,NA,NA,NA,NA
"ga:avgServerConnectionTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Server Connection Time (sec)","The average amount of time (in seconds) spent in establishing TCP connection for this page.",NA,NA,"(ga:serverConnectionTime / ga:speedMetricsSample / 1000)",NA,NA,NA,NA
"ga:serverResponseTime","METRIC","INTEGER","Site Speed","PUBLIC","Server Response Time (ms)","The total amount of time (in milliseconds) your server takes to respond to a user request among all samples, including the network time from user's location to your server.",NA,NA,NA,NA,NA,NA,NA
"ga:avgServerResponseTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Server Response Time (sec)","The average amount of time (in seconds) your server takes to respond to a user request, including the network time from user's location to your server.",NA,NA,"(ga:serverResponseTime / ga:speedMetricsSample / 1000)",NA,NA,NA,NA
"ga:speedMetricsSample","METRIC","INTEGER","Site Speed","PUBLIC","Speed Metrics Sample","The sample set (or count) of pageviews used to calculate the averages for site speed metrics. This metric is used in all site speed average calculations including avgDomainLookupTime, avgPageDownloadTime, avgRedirectionTime, avgServerConnectionTime, and avgServerResponseTime.",NA,NA,NA,NA,NA,NA,NA
"ga:domInteractiveTime","METRIC","INTEGER","Site Speed","PUBLIC","Document Interactive Time (ms)","The time the browser takes (in milliseconds) to parse the document (DOMInteractive), including the network time from the user's location to your server. At this time, the user can interact with the Document Object Model even though it is not fully loaded.",NA,NA,NA,NA,NA,NA,NA
"ga:avgDomInteractiveTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Document Interactive Time (sec)","The average time (in seconds) it takes the browser to parse the document and execute deferred and parser-inserted scripts including the network time from the user's location to your server.",NA,NA,"(ga:domInteractiveTime / ga:domLatencyMetricsSample / 1000)",NA,NA,NA,NA
"ga:domContentLoadedTime","METRIC","INTEGER","Site Speed","PUBLIC","Document Content Loaded Time (ms)","The time the browser takes (in milliseconds) to parse the document and execute deferred and parser-inserted scripts (DOMContentLoaded), including the network time from the user's location to your server. Parsing of the document is finished, the Document Object Model is ready, but referenced style sheets, images, and subframes may not be finished loading. This event is often the starting point for javascript framework execution, e.g., JQuery's onready() callback, etc.",NA,NA,NA,NA,NA,NA,NA
"ga:avgDomContentLoadedTime","METRIC","FLOAT","Site Speed","PUBLIC","Avg. Document Content Loaded Time (sec)","The average time (in seconds) it takes the browser to parse the document.",NA,NA,"(ga:domContentLoadedTime / ga:domLatencyMetricsSample / 1000)",NA,NA,NA,NA
"ga:domLatencyMetricsSample","METRIC","INTEGER","Site Speed","PUBLIC","DOM Latency Metrics Sample","The sample set (or count) of pageviews used to calculate the averages for site speed DOM metrics. This metric is used in the avgDomContentLoadedTime and avgDomInteractiveTime calculations.",NA,NA,NA,NA,NA,NA,NA
"ga:appInstallerId","DIMENSION","STRING","App Tracking","PUBLIC","App Installer ID","ID of the installer (e.g., Google Play Store) from which the app was downloaded. By default, the app installer id is set based on the PackageManager#getInstallerPackageName method.",TRUE,NA,NA,NA,NA,NA,NA
"ga:appVersion","DIMENSION","STRING","App Tracking","PUBLIC","App Version","The version of the application.",TRUE,NA,NA,NA,NA,NA,NA
"ga:appName","DIMENSION","STRING","App Tracking","PUBLIC","App Name","The name of the application.",TRUE,NA,NA,NA,NA,NA,NA
"ga:appId","DIMENSION","STRING","App Tracking","PUBLIC","App ID","The ID of the application.",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenName","DIMENSION","STRING","App Tracking","PUBLIC","Screen Name","The name of the screen.",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenDepth","DIMENSION","STRING","App Tracking","PUBLIC","Screen Depth","The number of screenviews per session reported as a string. Can be useful for historgrams.",TRUE,NA,NA,NA,NA,NA,NA
"ga:landingScreenName","DIMENSION","STRING","App Tracking","PUBLIC","Landing Screen","The name of the first screen viewed.",TRUE,NA,NA,NA,NA,NA,NA
"ga:exitScreenName","DIMENSION","STRING","App Tracking","PUBLIC","Exit Screen","The name of the screen when the user exited the application.",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenviews","METRIC","INTEGER","App Tracking","PUBLIC","Screen Views","The total number of screenviews.",TRUE,NA,NA,NA,NA,NA,NA
"ga:appviews","METRIC","INTEGER","App Tracking","DEPRECATED","Screen Views","The total number of screenviews.",TRUE,"ga:screenviews",NA,NA,NA,NA,NA
"ga:uniqueScreenviews","METRIC","INTEGER","App Tracking","PUBLIC","Unique Screen Views","The number of unique screen views. Screen views in different sessions count a separate screen views.",TRUE,NA,NA,NA,NA,NA,NA
"ga:uniqueAppviews","METRIC","INTEGER","App Tracking","DEPRECATED","Unique Screen Views","The number of unique screen views. Screen views in different sessions count a separate screen views.",TRUE,"ga:uniqueScreenviews",NA,NA,NA,NA,NA
"ga:screenviewsPerSession","METRIC","FLOAT","App Tracking","PUBLIC","Screens / Session","The average number of screenviews per session.",NA,NA,"ga:screenviews / ga:sessions",NA,NA,NA,NA
